Reaction_ID	Flux
EX_ac_e	5.0040
EX_fru_e	0.0000
EX_gal_e	0.0000
EX_glc__D_e	0.0000
EX_glyc_e	0.0000
EX_glcn_e	-7.2839
EX_pyr_e	0.0000
EX_succ_e	0.0000
EX_fum_e	0.0000
EX_lac__D_e	0.0000
PGI	-0.0313
FBA	0.4869
TPI	0.4869
GAPD	6.8946
PGK	-6.8946
PGM	-5.8734
ENO	5.8734
PDH	7.5055
EDD	5.8190
EDA	5.8190
G6PDH2r	0.0000
PGL	0.0000
GND	1.4650
RPI	-0.9052
RPE	0.5598
TKT1	0.3888
TALA	0.3888
TKT2	0.1710
PPC	1.9434
PPCK	0.0000
CS	1.1540
ACONTa	1.1540
ACONTb	1.1540
ICDHyr	1.1540
AKGDH	0.1824
SUCOAS	-0.1824
SUCDi	0.1824
FUM	0.1824
ICL	0.0000
MALS	0.0000
Growth_rate	0.5900
